"numID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC","eaS1neg","eaS1pos","eaSneg","eaSneu","eaSpos","eaO1neg","eaO1pos","eaOneg","eaOneu","eaOpos","midS1neg","midS1pos","midSneg","midSneu","midSpos","midO1neg","midO1pos","midOneg","midOneu","midOpos","ltS1neg","ltS1pos","ltSneg","ltSneu","ltSpos","ltO1neg","ltO1pos","ltOneg","ltOneu","ltOpos"
20230710143840364.000000,1.769470,1.954101,2.937500,2.937500,0.693147,0.693147,-1.250000,-2.197225,6.312500,2.375000,4.250000,6.910000,-248.224459,-242.805094,510.448918,519.109996,4.952381,4.047619,NaN,NaN,4.714286,3.904762,2.476190,NaN,4.428571,NaN,4.361111,5.138889,NaN,NaN,5.500000,2.888889,4.527778,NaN,5.138889,NaN,5.000000,4.714286,NaN,NaN,4.476190,4.571429,3.714286,NaN,4.523810,NaN
20230710143908208.000000,0.693147,0.693147,2.937500,2.937500,0.693147,0.693147,-1.250000,-2.197225,-2.125000,1.437500,22.625000,6.910000,-273.569522,-268.770663,561.139045,569.800122,3.571429,3.238095,NaN,5.190476,NaN,4.714286,4.238095,NaN,NaN,5.142857,3.166667,4.222222,NaN,4.861111,NaN,4.000000,4.472222,NaN,NaN,3.416667,1.714286,4.428571,NaN,3.666667,NaN,3.476190,4.095238,NaN,NaN,2.857143
20230710143908784.000000,1.967385,2.560862,3.500000,3.500000,0.693147,0.693147,-1.812500,-2.197225,5.500000,4.062500,7.203125,6.910000,-262.714273,-257.763828,539.428547,548.089624,4.571429,5.095238,NaN,4.428571,NaN,4.190476,5.047619,NaN,4.000000,NaN,4.972222,4.694444,NaN,4.472222,NaN,5.138889,4.666667,NaN,4.722222,NaN,5.666667,4.857143,NaN,3.666667,NaN,5.190476,4.285714,NaN,4.952381,NaN
20230710143918232.000000,1.529749,0.619039,2.500000,2.500000,0.693147,0.693147,-1.000000,-2.197225,-5.000000,3.500000,9.937500,6.910000,-244.843016,-239.402588,503.686033,512.347110,5.380952,4.714286,NaN,5.333333,4.380952,3.952381,4.857143,NaN,NaN,NaN,4.250000,5.277778,NaN,4.500000,4.361111,2.500000,5.388889,NaN,NaN,NaN,2.571429,5.285714,NaN,3.666667,4.047619,3.476190,5.190476,NaN,NaN,NaN
20230710143955428.000000,1.631180,0.879414,3.218750,3.218750,0.693147,0.693147,-1.250000,-2.197225,3.812500,5.750000,14.750000,6.910000,-263.015527,-258.141987,540.031054,548.692131,5.190476,3.523810,NaN,3.476190,NaN,4.000000,4.142857,NaN,NaN,3.238095,4.722222,5.277778,NaN,3.250000,NaN,4.694444,4.500000,NaN,NaN,3.916667,3.809524,5.476190,NaN,4.238095,NaN,2.666667,4.523810,NaN,NaN,5.000000
20230710143956896.000000,0.333364,6.799972,2.375000,2.375000,0.693147,0.693147,-1.250000,-2.197225,2.187500,-0.575000,2.500000,6.910000,-251.200725,-245.598430,516.401449,525.062526,4.142857,3.142857,NaN,3.666667,NaN,4.571429,4.714286,NaN,NaN,3.571429,2.444444,4.222222,NaN,3.388889,NaN,2.305556,4.166667,NaN,NaN,3.388889,2.238095,4.428571,NaN,2.047619,NaN,2.000000,4.000000,NaN,NaN,3.904762
20230710144001188.000000,3.880217,4.693586,3.500000,3.500000,0.693147,0.693147,-1.250000,-2.197225,-5.750000,4.906250,7.203125,6.910000,-228.703377,-223.820464,471.406755,480.067832,4.000000,6.000000,NaN,5.476190,NaN,5.000000,4.666667,NaN,NaN,4.809524,4.333333,5.833333,NaN,5.194444,NaN,4.166667,4.444444,NaN,NaN,4.527778,5.714286,4.571429,NaN,5.285714,NaN,2.380952,5.428571,NaN,NaN,5.047619
20230710144025632.000000,0.927987,-0.554010,2.750000,2.750000,0.693147,0.693147,-0.500000,-2.197225,-3.000000,1.100000,6.000000,6.910000,-224.300155,-218.758308,462.600311,471.261388,4.666667,4.285714,NaN,5.285714,4.857143,3.285714,4.952381,NaN,NaN,NaN,2.111111,4.833333,NaN,4.388889,5.111111,2.250000,3.444444,NaN,NaN,NaN,2.333333,4.523810,NaN,5.047619,5.142857,2.333333,4.666667,NaN,NaN,NaN
20230710144042544.000000,-0.643213,-0.242964,4.000000,4.000000,0.693147,0.693147,-0.750000,-2.197225,-1.000000,-1.900000,6.000000,6.910000,-227.172762,-222.839923,468.345524,477.006601,2.809524,3.714286,NaN,NaN,3.571429,3.523810,3.476190,NaN,NaN,3.619048,1.972222,3.722222,NaN,NaN,3.888889,3.027778,3.583333,NaN,NaN,4.000000,3.095238,3.523810,NaN,NaN,3.761905,2.000000,3.428571,NaN,NaN,4.571429
20230710144056728.000000,0.382800,0.944562,3.218750,3.218750,0.693147,0.693147,-0.500000,-2.197225,-0.609375,-1.187500,9.500000,6.910000,-247.146280,-241.904687,508.292560,516.953637,2.904762,3.714286,NaN,4.142857,NaN,3.095238,2.904762,NaN,5.238095,NaN,2.166667,4.444444,NaN,2.861111,NaN,3.027778,4.694444,NaN,4.111111,NaN,2.571429,4.095238,NaN,1.857143,NaN,2.333333,4.619048,NaN,4.095238,NaN
